Nickname: Bur   Map: level1.txt   Score: 100
Nickname: Tomasek   Map: level1.txt   Score: 120
Nickname: Buryseklol   Map: level1.txt   Score: 160
Nickname: Lol   Map: level1.txt   Score: 0
Nickname: level   Map:    Score: 0
Nickname: levell   Map:    Score: 0
Nickname: level   Map: level1.txt   Score: 0
Nickname: lol   Map: level1.txt   Score: 0
Nickname: lOL   Map: level1.txt   Score: 80
Nickname: ldl   Map: level1.txt   Score: 120
Nickname: lol   Map: level1.txt   Score: 120
Nickname: LOL   Map: level1.txt   Score: 0
Nickname: Lol   Map: level1.txt   Score: 0
Nickname: Bro   Map: level1.txt   Score: 0
Nickname: Bury   Map: level1.txt   Score: 0
Nickname: Lol   Map: level1.txt   Score: 0
Nickname: lal   Map: level1.txt   Score: 0
Nickname: lwl   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: level   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: f   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: Levi   Map: level1.txt   Score: 0
Nickname: level1   Map: level1.txt   Score: 180
Nickname: d   Map: level1.txt   Score: 260
Nickname: level   Map: level1.txt   Score: 200
Nickname: asd   Map: level1.txt   Score: 240
Nickname: le   Map: level1.txt   Score: 120
Nickname: lel   Map: level1.txt   Score: 120
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lev   Map: level1.txt   Score: 360
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 200
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 0
Nickname: lel   Map: level1.txt   Score: 780
Nickname: lel   Map: level1.txt   Score: 160
